NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SH2D1B	1	SH2D1B	
PARVA	1	PARVA	
SMTN	1	SMTN	
VNN2	1	VNN2	
DCP1A	1	DCP1A	
DCP1B	1	DCP1B	
TENM2	1	TENM2	
TENM3	1	TENM3	
TENM4	1	TENM4	
MEOX2	1	MEOX2	
C1QBP	1	C1QBP	
SEC61G	1	SEC61G	
TMED2	1	TMED2	
SEC61B	1	SEC61B	
UBXN4	1	UBXN4	
ERMAP	1	ERMAP	
TMED4	1	TMED4	
EDN1	1	EDN1	
EDN2	1	EDN2	
EDN3	1	EDN3	
PARP1	1	PARP1	
GP1BA	1	GP1BA	
SLC35G2	1	SLC35G2	
PDCD1LG2	1	PDCD1LG2	
TYK2	1	TYK2	
MLF1	1	MLF1	
ZDHHC14	1	ZDHHC14	
VWA1	1	VWA1	
VWA2	1	VWA2	
AIDA	1	AIDA	
MATN4	1	MATN4	
MATN3	1	MATN3	
MATN2	1	MATN2	
DTYMK	1	DTYMK	
AMIGO1	1	AMIGO1	
AMIGO2	1	AMIGO2	
TYMS	1	TYMS	
AIF1	1	AIF1	
TYMP	1	TYMP	
PURB	1	PURB	
TCEAL8	1	TCEAL8	
PURA	1	PURA	
EGFLAM	1	EGFLAM	
TCEAL3	1	TCEAL3	
WIF1	1	WIF1	
EMC1	1	EMC1	
EMC4	1	EMC4	
LAIR2	1	LAIR2	
SUSD3	1	SUSD3	
EMC8	1	EMC8	
LAIR1	1	LAIR1	
MTX2	1	MTX2	
SUSD1	1	SUSD1	
C6orf58	1	LEG1	
SVIP	1	SVIP	
CD40LG	1	CD40LG	
GSTA4	1	GSTA4	
GSTA3	1	GSTA3	
QPCT	1	QPCT	
GSTA1	1	GSTA1	
VWC2	1	VWC2	
ZWILCH	1	ZWILCH	
CCL4L2	1	CCL4L1	
LZIC	1	LZIC	
COMT	1	COMT	
CNDP1	1	CNDP1	
CNDP2	1	CNDP2	
COMP	1	COMP	
BMPER	1	BMPER	
ARHGDIA	1	ARHGDIA	
ARHGDIB	1	ARHGDIB	
SVEP1	1	SVEP1	
POSTN	1	POSTN	
IL11RA	1	IL11RA	
PUS1	1	PUS1	
ATP1B4	1	ATP1B4	
ACYP2	1	ACYP2	
ATP1B3	1	ATP1B3	
LIFR	1	LIFR	
ATP1B2	1	ATP1B2	
ATP1B1	1	ATP1B1	
TIMELESS	1	TIMELESS	
PRTN3	1	PRTN3	
PMEL	1	PMEL	
LPO	1	LPO	
PSG11	1	PSG11	
CUZD1	1	CUZD1	
THPO	1	THPO	
UBB	1	UBB	
UBD	1	UBD	
UBC	1	UBC	
GAGE2A	1	GAGE2A	
SELE	1	SELE	
SELP	1	SELP	
GRHPR	1	GRHPR	
DAP	1	DAP	
DAO	1	DAO	
SELL	1	SELL	
BAMBI	1	BAMBI	
BLMH	1	BLMH	
FGFR4	1	FGFR4	
FGFR3	1	FGFR3	
COPE	1	COPE	
FGFR2	1	FGFR2	
FGFR1	1	FGFR1	
GLP1R	1	GLP1R	
COLGALT2	1	COLGALT2	
THRA	1	THRA	
DBI	1	DBI	
CGB2	1	CGB2	
RABEPK	1	RABEPK	
RBM3	1	RBM3	
RPS4X	1	RPS4X	
LRRTM3	1	LRRTM3	
LRRTM4	1	LRRTM4	
LRRTM1	1	LRRTM1	
NTMT1	1	NTMT1	
LRRTM2	1	LRRTM2	
BLNK	1	BLNK	
TOPBP1	1	TOPBP1	
COLGALT1	1	COLGALT1	
C15orf48	1	NMES1	
PLAUR	1	PLAUR	
RPS3A	1	RPS3A	
DCK	1	DCK	
DCN	1	DCN	
RBL2	1	RBL2	
ALDH1A3	1	ALDH1A3	
ZAP70	1	ZAP70	
GAP43	1	GAP43	
RBL1	1	RBL1	
DDAH1	1	DDAH1	
OAS1	1	OAS1	
COL6A2	1	COL6A2	
ALDH1A1	1	ALDH1A1	
CDH11	1	CDH11	
COL6A1	1	COL6A1	
ZPBP2	1	ZPBP2	
CDH12	1	CDH12	
LTA	1	LTA	
COL6A3	1	COL6A3	
CDH15	1	CDH15	
COL6A5	1	COL6A5	
TMEM9	1	TMEM9	
DEFB4A	1	DEFB4A	
CDH17	1	CDH17	
RBKS	1	RBKS	
LTF	1	LTF	
DDC	1	DDC	
PDXK	1	PDXK	
CLEC12A	1	CLEC12A	
NRXN1	1	NRXN1	
NRXN3	1	NRXN3	
NRXN2	1	NRXN2	
PDXP	1	PDXP	
NXF1	1	NXF1	
MUC1	1	MUC1	
PDE11A	1	PDE11A	
DDT	1	DDT	
GBP2	1	GBP2	
BUB1	1	BUB1	
GBP1	1	GBP1	
OPCML	1	OPCML	
SNCA	1	SNCA	
CRYGS	1	CRYGS	
ATP13A1	1	ATP13A1	
LUM	1	LUM	
CRYGD	1	CRYGD	
SLC4A8	1	SLC4A8	
DES	1	DES	
RPS6KB1	1	RPS6KB1	
ADAMDEC1	1	ADAMDEC1	
ARAF	1	ARAF	
C4BPA	1	C4BPA	
C4BPB	1	C4BPB	
SCAMP5	1	SCAMP5	
NSDHL	1	NSDHL	
ZFYVE27	1	ZFYVE27	
UBASH3B	1	UBASH3B	
IGLON5	1	IGLON5	
LIPN	1	LIPN	
LIPK	1	LIPK	
GBP6	1	GBP6	
GABARAPL2	1	GABARAPL2	
GABARAPL1	1	GABARAPL1	
STARD5	1	STARD5	
CSNK2A1	1	CSNK2A1	
CSNK2A2	1	CSNK2A2	
FIBCD1	1	FIBCD1	
HPCAL1	1	HPCAL1	
RNASE6	1	RNASE6	
RNASE4	1	RNASE4	
RNASE3	1	RNASE3	
CRIPTO	1	TDGF1	
PDYN	1	PDYN	
RNASE2	1	RNASE2	
HSPG2	1	HSPG2	
RNASE1	1	RNASE1	
RBP7	1	RBP7	
RBP4	1	RBP4	
SLC5A8	1	SLC5A8	
RBP5	1	RBP5	
PRKAR1B	1	PRKAR1B	
RBP1	1	RBP1	
TBPL1	1	TBPL1	
MTMR1	1	MTMR1	
HS3ST3A1	1	HS3ST3A1	
DHH	1	DHH	
EDDM3A	1	EDDM3A	
SLCO5A1	1	SLCO5A1	
EDDM3B	1	EDDM3B	
LY9	1	LY9	
OAZ1	1	OAZ1	
MTMR6	1	MTMR6	
C2	1	C2	
SLC5A5	1	SLC5A5	
C3	1	C3	
C5	1	C5	
C6	1	C6	
HSPH1	1	HSPH1	
KLRK1	1	KLRK1	
C7	1	C7	
C9	1	C9	
PRKAR2A	1	PRKAR2A	
VTI1A	1	VTI1A	
PPARGC1A	1	PPARGC1A	
VTI1B	1	VTI1B	
LYN	1	LYN	
MCTS1	1	MCTS1	
NGFR	1	NGFR	
PMM1	1	PMM1	
PMM2	1	PMM2	
ERLIN1	1	ERLIN1	
AZU1	1	AZU1	
NETO2	1	NETO2	
LYZ	1	LYZ	
CP	1	CP	
COL1A1	1	COL1A1	
CS	1	CS	
PCDHGA10	1	PCDHGA10	
PCDHGA12	1	PCDHGA12	
UCK2	1	UCK2	
LACRT	1	LACRT	
ARF3	1	ARF3	
ARF4	1	ARF4	
LAD1	1	LAD1	
ARF1	1	ARF1	
UCMA	1	UCMA	
HEXB	1	HEXB	
QPRT	1	QPRT	
AREG	1	AREG	
PQBP1	1	PQBP1	
EEA1	1	EEA1	
UCN3	1	UCN3	
RPLP2	1	RPLP2	
FGFBP3	1	FGFBP3	
APPL1	1	APPL1	
ARG2	1	ARG2	
FGFBP1	1	FGFBP1	
ARG1	1	ARG1	
OPALIN	1	OPALIN	
RIPK2	1	RIPK2	
RRAS2	1	RRAS2	
SIRT5	1	SIRT5	
DYNLL1	1	DYNLL1	
F2	1	F2	
DYNLL2	1	DYNLL2	
F3	1	F3	
SIRT2	1	SIRT2	
SUMF2	1	SUMF2	
F5	1	F5	
SIRT3	1	SIRT3	
SUMF1	1	SUMF1	
F7	1	F7	
F8	1	F8	
BDH2	1	BDH2	
F9	1	F9	
ACRV1	1	ACRV1	
PMP2	1	PMP2	
DLD	1	DLD	
DSCAML1	1	DSCAML1	
ARF5	1	ARF5	
ARF6	1	ARF6	
FH	1	FH	
STAU1	1	STAU1	
STAU2	1	STAU2	
STATH	1	STATH	
FSTL1	1	FSTL1	
FSTL4	1	FSTL4	
FSTL3	1	FSTL3	
FSTL5	1	FSTL5	
MYCT1	1	MYCT1	
PMS2	1	PMS2	
STAT6	1	STAT6	
CSMD2	1	CSMD2	
GC	1	GC	
RPS27A	1	RPS27A	
CSMD1	1	CSMD1	
MDH1	1	MDH1	
C20orf173	1	C20orf173	
MDH2	1	MDH2	
STAT1	1	STAT1	
STAT3	1	STAT3	
C22orf15	1	C22orf15	
PECR	1	PECR	
UBE2D4	1	UBE2D4	
UBE2D2	1	UBE2D2	
UBE2D3	1	UBE2D3	
CXCL17	1	CXCL17	
HP	1	HP	
UBE2D1	1	UBE2D1	
DEFB1	1	DEFB1	
CXCL13	1	CXCL13	
CXCL14	1	CXCL14	
CXCL16	1	CXCL16	
HPGDS	1	HPGDS	
HEPHL1	1	HEPHL1	
STK16	1	STK16	
KPNA6	1	KPNA6	
KPNA4	1	KPNA4	
KPNA2	1	KPNA2	
SLC16A3	1	SLC16A3	
KPNA1	1	KPNA1	
CPA2	1	CPA2	
IK	1	IK	
LAG3	1	LAG3	
TICAM2	1	TICAM2	
UBE2E1	1	UBE2E1	
MUL1	1	MUL1	
ADCYAP1	1	ADCYAP1	
ACAP2	1	ACAP2	
UTS2	1	UTS2	
NPTXR	1	NPTXR	
DSC1	1	DSC1	
DSC2	1	DSC2	
KPNB1	1	KPNB1	
DSC3	1	DSC3	
ARL9	1	ARL9	
CPB2	1	CPB2	
CPB1	1	CPB1	
PFKFB3	1	PFKFB3	
ARL6	1	ARL6	
MAX	1	MAX	
PEF1	1	PEF1	
ARL3	1	ARL3	
MAZ	1	MAZ	
ARL1	1	ARL1	
ARL2	1	ARL2	
DPT	1	DPT	
TNFRSF11B	1	TNFRSF11B	
FOXO3	1	FOXO3	
FHIT	1	FHIT	
ACAT2	1	ACAT2	
RAP1GAP	1	RAP1GAP	
ACAT1	1	ACAT1	
SOCS3	1	SOCS3	
BCL2L10	1	BCL2L10	
BCL2L11	1	BCL2L11	
PMVK	1	PMVK	
NPTX1	1	NPTX1	
NPTX2	1	NPTX2	
SOCS7	1	SOCS7	
CPA4	1	CPA4	
COL28A1	1	COL28A1	
KL	1	KL	
BRPF1	1	BRPF1	
BDNF	1	BDNF	
DEFA5	1	DEFA5	
TNFRSF10B	1	TNFRSF10B	
TNFRSF10A	1	TNFRSF10A	
DEFA1	1	DEFA1	
TNFRSF10D	1	TNFRSF10D	
CXCL10	1	CXCL10	
CXCL11	1	CXCL11	
CXCL12	1	CXCL12	
STK24	1	STK24	
UST	1	UST	
MDM2	1	MDM2	
SCGB3A1	1	SCGB3A1	
MDM4	1	MDM4	
MDM1	1	MDM1	
CNTNAP2	1	CNTNAP2	
DRAXIN	1	DRAXIN	
ST6GALNAC1	1	ST6GALNAC1	
NXT1	1	NXT1	
ST6GALNAC2	1	ST6GALNAC2	
CELF2	1	CELF2	
COX4I2	1	COX4I2	
FHL1	1	FHL1	
FOXM1	1	FOXM1	
NXT2	1	NXT2	
PIK3CG	1	PIK3CG	
NGRN	1	NGRN	
MRPL2	1	MRPL2	
MB	1	MB	
MDK	1	MDK	
SUMO3	1	SUMO3	
SUMO2	1	SUMO2	
DGCR6	1	DGCR6	
DGCR2	1	DGCR2	
PVRIG	1	PVRIG	
GKN1	1	GKN1	
SH2D3C	1	SH2D3C	
GKN2	1	GKN2	
FOXL2	1	FOXL2	
RAD23A	1	RAD23A	
RAD23B	1	RAD23B	
SLC25A18	1	SLC25A18	
SNPH	1	SNPH	
IL1RAPL2	1	IL1RAPL2	
DSG1	1	DSG1	
DSG2	1	DSG2	
DSG3	1	DSG3	
BDP1	1	BDP1	
ST6GALNAC3	1	ST6GALNAC3	
MET	1	MET	
CNTNAP5	1	CNTNAP5	
ST6GALNAC5	1	ST6GALNAC5	
ST6GALNAC6	1	ST6GALNAC6	
COL15A1	1	COL15A1	
LRP1	1	LRP1	
HSD17B14	1	HSD17B14	
LRP4	1	LRP4	
FURIN	1	FURIN	
LRP2	1	LRP2	
HSD17B11	1	HSD17B11	
HSD17B10	1	HSD17B10	
LRP8	1	LRP8	
CKMT2	1	CKMT2	
SLITRK1	1	SLITRK1	
SLITRK4	1	SLITRK4	
SLITRK3	1	SLITRK3	
SLITRK6	1	SLITRK6	
SLITRK5	1	SLITRK5	
PCBD1	1	PCBD1	
PCBD2	1	PCBD2	
C1orf226	1	C1orf226	
CTHRC1	1	CTHRC1	
LINGO1	1	LINGO1	
PPP1R14A	1	PPP1R14A	
DUT	1	DUT	
LINGO3	1	LINGO3	
MMAB	1	MMAB	
MGA	1	MGA	
TIE1	1	TIE1	
FOXJ2	1	FOXJ2	
BAIAP2	1	BAIAP2	
NELL2	1	NELL2	
NELL1	1	NELL1	
PC	1	PC	
MGP	1	MGP	
P4HB	1	P4HB	
MDGA2	1	MDGA2	
MDGA1	1	MDGA1	
SPG21	1	SPG21	
EIF4A2	1	EIF4A2	
EPHB6	1	EPHB6	
EIF4A1	1	EIF4A1	
SPON2	1	SPON2	
SPON1	1	SPON1	
C1orf210	1	C1orf210	
EIF4A3	1	EIF4A3	
TXNDC11	1	TXNDC11	
TXNDC12	1	TXNDC12	
UBE2L6	1	UBE2L6	
TXNDC15	1	TXNDC15	
UBE2L3	1	UBE2L3	
C2orf66	1	C2orf66	
TCL1B	1	TCL1B	
TCL1A	1	TCL1A	
DHX58	1	DHX58	
BCAP29	1	BCAP29	
EPHB2	1	EPHB2	
EPHB1	1	EPHB1	
PELO	1	PELO	
EPHB4	1	EPHB4	
EPHB3	1	EPHB3	
EPHA5	1	EPHA5	
ARSA	1	ARSA	
EPHA4	1	EPHA4	
ENTPD1	1	ENTPD1	
EPHA7	1	EPHA7	
ENTPD2	1	ENTPD2	
ENTPD3	1	ENTPD3	
MIA	1	MIA	
MUSK	1	MUSK	
ENTPD5	1	ENTPD5	
NPFF	1	NPFF	
ENTPD6	1	ENTPD6	
TIMD4	1	TIMD4	
MIF	1	MIF	
ASRGL1	1	ASRGL1	
SFRP4	1	SFRP4	
SFRP1	1	SFRP1	
FNDC4	1	FNDC4	
SFRP2	1	SFRP2	
MXRA8	1	MXRA8	
ULK3	1	ULK3	
TAGLN2	1	TAGLN2	
LAP3	1	LAP3	
MXRA7	1	MXRA7	
TAGLN3	1	TAGLN3	
EPHA1	1	EPHA1	
EPHA3	1	EPHA3	
EPHA2	1	EPHA2	
GCDH	1	GCDH	
TMEM87B	1	TMEM87B	
PAXIP1	1	PAXIP1	
EPHA10	1	EPHA10	
CAPSL	1	CAPSL	
FOXG1	1	FOXG1	
MST1R	1	MST1R	
PIK3R1	1	PIK3R1	
RTF1	1	RTF1	
EVPL	1	EVPL	
ART3	1	ART3	
ART4	1	ART4	
UBE2J1	1	UBE2J1	
SNX3	1	SNX3	
SNX4	1	SNX4	
SNX1	1	SNX1	
COMMD9	1	COMMD9	
PCBP1	1	PCBP1	
ARSK	1	ARSK	
PENK	1	PENK	
DHX38	1	DHX38	
SNX7	1	SNX7	
SNX8	1	SNX8	
ARSB	1	ARSB	
SNX5	1	SNX5	
CRADD	1	CRADD	
INTS3	1	INTS3	
CELA1	1	CELA1	
PILRA	1	PILRA	
TF	1	TF	
TG	1	TG	
ARTN	1	ARTN	
COL9A1	1	COL9A1	
PCSK2	1	PCSK2	
PCSK1	1	PCSK1	
TNFRSF13B	1	TNFRSF13B	
CCDC126	1	CCDC126	
FKBP14	1	FKBP14	
CETN2	1	CETN2	
CETN3	1	CETN3	
PCSK9	1	PCSK9	
DOC2B	1	DOC2B	
PCSK7	1	PCSK7	
TNFRSF13C	1	TNFRSF13C	
CHRDL2	1	CHRDL2	
CHRDL1	1	CHRDL1	
MLN	1	MLN	
MYDGF	1	MYDGF	
GNGT2	1	GNGT2	
ACADL	1	ACADL	
HYAL1	1	HYAL1	
ACADM	1	ACADM	
ACADS	1	ACADS	
ACAD8	1	ACAD8	
NCOA2	1	NCOA2	
DBNL	1	DBNL	
TNFRSF12A	1	TNFRSF12A	
COMMD1	1	COMMD1	
OSMR	1	OSMR	
COMMD7	1	COMMD7	
ENAH	1	ENAH	
LAT2	1	LAT2	
VSNL1	1	VSNL1	
CSDE1	1	CSDE1	
CRELD1	1	CRELD1	
FOXC2	1	FOXC2	
DEFB129	1	DEFB129	
DEFB128	1	DEFB128	
SATB1	1	SATB1	
SATB2	1	SATB2	
DOT1L	1	DOT1L	
DEFB125	1	DEFB125	
NEDD9	1	NEDD9	
CRIP2	1	CRIP2	
DEFB121	1	DEFB121	
CRIP1	1	CRIP1	
CPN2	1	CPN2	
CPN1	1	CPN1	
PGRMC1	1	PGRMC1	
PGRMC2	1	PGRMC2	
PES1	1	PES1	
SCAND1	1	SCAND1	
NPDC1	1	NPDC1	
NPM1	1	NPM1	
GCH1	1	GCH1	
MOG	1	MOG	
CRIPT	1	CRIPT	
DEFB136	1	DEFB136	
KLK13	1	KLK13	
DEFB135	1	DEFB135	
KLK14	1	KLK14	
KLK15	1	KLK15	
UBE2G1	1	UBE2G1	
UBE2G2	1	UBE2G2	
DEFB132	1	DEFB132	
KLK10	1	KLK10	
KLK11	1	KLK11	
KLK12	1	KLK12	
XG	1	XG	
CSDC2	1	CSDC2	
FKBP1B	1	FKBP1B	
YIPF6	1	YIPF6	
FAM171B	1	FAM171B	
TARDBP	1	TARDBP	
ENGASE	1	ENGASE	
MAD2L1	1	MAD2L1	
CCDC167	1	CCDC167	
SH3GL3	1	SH3GL3	
PLVAP	1	PLVAP	
MPG	1	MPG	
BCCIP	1	BCCIP	
MPL	1	MPL	
CPOX	1	CPOX	
WBP1L	1	WBP1L	
MPO	1	MPO	
NPPB	1	NPPB	
FAM174A	1	FAM174A	
MPZ	1	MPZ	
NPPA	1	NPPA	
CAPN2	1	CAPN2	
CAPN3	1	CAPN3	
ACAA1	1	ACAA1	
SH3GL2	1	SH3GL2	
PDGFRB	1	PDGFRB	
PDGFRA	1	PDGFRA	
PCOLCE	1	PCOLCE	
NPNT	1	NPNT	
PDGFRL	1	PDGFRL	
DPEP2	1	DPEP2	
UBE2V2	1	UBE2V2	
DPEP1	1	DPEP1	
UBE2V1	1	UBE2V1	
VCL	1	VCL	
NDRG4	1	NDRG4	
NDRG3	1	NDRG3	
ARHGEF25	1	ARHGEF25	
KLHL12	1	KLHL12	
KIR2DL1	1	KIR2DL1	
KLHL13	1	KLHL13	
KIR2DL2	1	KIR2DL2	
KIR2DL3	1	KIR2DL3	
NDRG1	1	NDRG1	
KIR2DL4	1	KIR2DL4	
HCAR2	1	HCAR2	
CCNB2	1	CCNB2	
CCNB1	1	CCNB1	
CHAD	1	CHAD	
TAC4	1	TAC4	
TAC1	1	TAC1	
VARS1	1	VARS	
CCDC134	1	CCDC134	
GCKR	1	GCKR	
VDR	1	VDR	
CRIM1	1	CRIM1	
HMGA1	1	HMGA1	
DSTN	1	DSTN	
HMGA2	1	HMGA2	
LAYN	1	LAYN	
MSN	1	MSN	
BMP7	1	BMP7	
BMP6	1	BMP6	
GULP1	1	GULP1	
BMP4	1	BMP4	
BMP3	1	BMP3	
BMP2	1	BMP2	
BMP1	1	BMP1	
CYCS	1	CYCS	
OSTN	1	OSTN	
GCLM	1	GCLM	
LGALS3BP	1	LGALS3BP	
PNLIPRP1	1	PNLIPRP1	
RTP4	1	RTP4	
YWHAE	1	YWHAE	
CD164L2	1	CD164L2	
EDA	1	EDA	
CNRIP1	1	CNRIP1	
YWHAB	1	YWHAB	
CHD7	1	CHD7	
ATP2A3	1	ATP2A3	
HMGB2	1	HMGB2	
HMGB3	1	HMGB3	
PSIP1	1	PSIP1	
LAMC2	1	LAMC2	
HMGB1	1	HMGB1	
YWHAQ	1	YWHAQ	
CD200R1L	1	CD200R1L	
NPTN	1	NPTN	
SULT4A1	1	SULT4A1	
CFAP45	1	CFAP45	
YWHAG	1	YWHAG	
YWHAH	1	YWHAH	
HS3ST3B1	1	HS3ST3B1	
ARHGEF10	1	ARHGEF10	
RBM17	1	RBM17	
MMP7	1	MMP7	
DYNLT1	1	DYNLT1	
GLRX3	1	GLRX3	
MMP1	1	MMP1	
DYNLT3	1	DYNLT3	
GLRX5	1	GLRX5	
MMP2	1	MMP2	
MMP3	1	MMP3	
RBM19	1	RBM19	
ABHD14B	1	ABHD14B	
DARS2	1	DARS2	
ABHD14A	1	ABHD14A	
GLRX2	1	GLRX2	
GPCPD1	1	GPCPD1	
MMP8	1	MMP8	
MMP9	1	MMP9	
YWHAZ	1	YWHAZ	
CCNA2	1	CCNA2	
RCN3	1	RCN3	
RCN1	1	RCN1	
IRF3	1	IRF3	
IRF4	1	IRF4	
TBC1D5	1	TBC1D5	
CDHR1	1	CDHR1	
IRF1	1	IRF1	
IRF2	1	IRF2	
MMRN2	1	MMRN2	
PEX5	1	PEX5	
CDHR3	1	CDHR3	
BLVRB	1	BLVRB	
CDHR5	1	CDHR5	
MVD	1	MVD	
IRF6	1	IRF6	
RBM23	1	RBM23	
RBM24	1	RBM24	
BLVRA	1	BLVRA	
IRF9	1	IRF9	
RBM22	1	RBM22	
MVK	1	MVK	
GOSR2	1	GOSR2	
LAMA4	1	LAMA4	
PNKP	1	PNKP	
GOSR1	1	GOSR1	
RRBP1	1	RRBP1	
HMGCR	1	HMGCR	
ACVR1B	1	ACVR1B	
CYGB	1	CYGB	
EFS	1	EFS	
VHL	1	VHL	
CHGA	1	CHGA	
RBM39	1	RBM39	
TAF15	1	TAF15	
NAA10	1	NAA10	
EGF	1	EGF	
TAF10	1	TAF10	
MX1	1	MX1	
SOD2	1	SOD2	
ACVR2B	1	ACVR2B	
SCIMP	1	SCIMP	
SOD3	1	SOD3	
ACVR2A	1	ACVR2A	
CHFR	1	CHFR	
SOD1	1	SOD1	
GLB1	1	GLB1	
ASB9	1	ASB9	
VIM	1	VIM	
CPVL	1	CPVL	
VIP	1	VIP	
RBM46	1	RBM46	
PNMT	1	PNMT	
VIT	1	VIT	
EHF	1	EHF	
RPL30	1	RPL30	
TRIO	1	TRIO	
TRIL	1	TRIL	
THYN1	1	THYN1	
ENO1	1	ENO1	
DCAF5	1	DCAF5	
ENO2	1	ENO2	
ENO3	1	ENO3	
GCSH	1	GCSH	
MILR1	1	MILR1	
RNF114	1	RNF114	
CREB3L4	1	CREB3L4	
CREB3L1	1	CREB3L1	
MYC	1	MYC	
CREB3L2	1	CREB3L2	
MYB	1	MYB	
PIP4K2A	1	PIP4K2A	
PIP4K2B	1	PIP4K2B	
CHGB	1	CHGB	
SULT2A1	1	SULT2A1	
MED1	1	MED1	
CHIA	1	CHIA	
NHLRC3	1	NHLRC3	
GLCE	1	GLCE	
MED4	1	MED4	
DKK1	1	DKK1	
DKK2	1	DKK2	
DKK3	1	DKK3	
DKK4	1	DKK4	
SULT2B1	1	SULT2B1	
RNF128	1	RNF128	
TYRO3	1	TYRO3	
RNF122	1	RNF122	
VPS26A	1	VPS26A	
A1BG	1	A1BG	
PRDX3	1	PRDX3	
PRDX5	1	PRDX5	
PRDX4	1	PRDX4	
PRDX1	1	PRDX1	
PLCG2	1	PLCG2	
PNPO	1	PNPO	
PLCG1	1	PLCG1	
WNT10A	1	WNT10A	
CHKB	1	CHKB	
JUND	1	JUND	
DNASE2B	1	DNASE2B	
KIR2DS2	1	KIR2DS2	
RNASE10	1	RNASE10	
KIR2DS4	1	KIR2DS4	
TMEM190	1	TMEM190	
RNASE13	1	RNASE13	
PA2G4	1	PA2G4	
A1CF	1	A1CF	
PRDX6	1	PRDX6	
FIBP	1	FIBP	
SLC6A9	1	SLC6A9	
GIPC1	1	GIPC1	
PNOC	1	PNOC	
CDK16	1	PCTK1	
ELL	1	ELL	
SPEF1	1	SPEF1	
IMPA1	1	IMPA1	
CHL1	1	CHL1	
IMPA2	1	IMPA2	
ENSA	1	ENSA	
RNF150	1	RNF150	
LDLRAP1	1	LDLRAP1	
GPR135	1	GPR135	
RIPPLY1	1	RIPPLY1	
FCER2	1	FCER2	
PLCB1	1	PLCB1	
CCDC90B	1	CCDC90B	
ENG	1	ENG	
HBEGF	1	HBEGF	
PCYOX1	1	PCYOX1	
ASAH1	1	ASAH1	
ASAH2	1	ASAH2	
RPL12	1	RPL12	
ASIP	1	ASIP	
GCNT1	1	GCNT1	
PATE1	1	PATE1	
TANK	1	TANK	
PATE4	1	PATE4	
GCNT2	1	GCNT2	
ANKRD54	1	ANKRD54	
GCNT4	1	GCNT4	
DTD1	1	DTD1	
DTD2	1	DTD2	
F10	1	F10	
CARD9	1	CARD9	
F11	1	F11	
GUCA2B	1	GUCA2B	
TTC9B	1	TTC9B	
SULF2	1	SULF2	
TMEM154	1	TMEM154	
FIG4	1	FIG4	
RNF146	1	RNF146	
ERP44	1	ERP44	
RNF148	1	RNF148	
GPR142	1	GPR142	
NMNAT1	1	NMNAT1	
RNF149	1	RNF149	
A4GNT	1	A4GNT	
MSRB2	1	MSRB2	
MSRB3	1	MSRB3	
LAMTOR3	1	LAMTOR3	
CSF3R	1	CSF3R	
EPO	1	EPO	
FAM107A	1	FAM107A	
GUCA1A	1	GUCA1A	
YEATS4	1	YEATS4	
GRB14	1	GRB14	
NAGLU	1	NAGLU	
GRAP2	1	GRAP2	
GRB10	1	GRB10	
MACROD1	1	MACROD1	
CHP1	1	CHP1	
ZNF566	1	ZNF566	
CD177	1	CD177	
RNF43	1	RNF43	
ZNF560	1	ZNF560	
DEFB119	1	DEFB119	
ANKRD46	1	ANKRD46	
DEFB118	1	DEFB118	
FAM24B	1	FAM24B	
DEFB116	1	DEFB116	
DEFB115	1	DEFB115	
DEFB113	1	DEFB113	
DEFB112	1	DEFB112	
DEFB110	1	DEFB110	
RNF41	1	RNF41	
STIM1	1	STIM1	
NCL	1	NCL	
ERP29	1	ERP29	
GAPDHS	1	GAPDHS	
