NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ERH	1	ERH	
ERP27	1	ERP27	
IAPP	1	IAPP	
PHPT1	1	PHPT1	
MAD1L1	1	MAD1L1	
CSF1R	1	CSF1R	
GLO1	1	GLO1	
CHRD	1	CHRD	
STIP1	1	STIP1	
VTN	1	VTN	
ESD	1	ESD	
ABL1	1	ABL1	
ABL2	1	ABL2	
ESRRA	1	ESRRA	
CD163	1	CD163	
ANKRD27	1	ANKRD27	
CD160	1	CD160	
ZG16B	1	ZG16B	
LSM1	1	LSM1	
LSM4	1	LSM4	
HOPX	1	HOPX	
CNOT1	1	CNOT1	
RLN2	1	RLN2	
RLN3	1	RLN3	
GPR107	1	GPR107	
GPR101	1	GPR101	
EIF4G3	1	EIF4G3	
CNOT9	1	RQCD1	
EIF4G2	1	EIF4G2	
DPP10	1	DPP10	
RNF13	1	RNF13	
CALCOCO2	1	CALCOCO2	
TREM2	1	TREM2	
NAGPA	1	NAGPA	
TREM1	1	TREM1	
INSL6	1	INSL6	
DNMT3L	1	DNMT3L	
GM2A	1	GM2A	
ZNF526	1	ZNF526	
CNGA2	1	CNGA2	
HIF1AN	1	HIF1AN	
SOST	1	SOST	
INSL3	1	INSL3	
INSL5	1	INSL5	
INSL4	1	INSL4	
PDCD6IP	1	PDCD6IP	
VWF	1	VWF	
SORD	1	SORD	
MEPE	1	MEPE	
VSTM2L	1	VSTM2L	
ZFP91	1	ZFP91	
KCNAB2	1	KCNAB2	
NGF	1	NGF	
ASPN	1	ASPN	
BET1L	1	BET1L	
SARS2	1	SARS2	
ASPH	1	ASPH	
ESRP1	1	ESRP1	
SCGB2A1	1	SCGB2A1	
IL3RA	1	IL3RA	
EVL	1	EVL	
EIF4E2	1	EIF4E2	
SOS1	1	SOS1	
ASPA	1	ASPA	
SMPDL3A	1	SMPDL3A	
NLGN3	1	NLGN3	
NLGN1	1	NLGN1	
NLGN2	1	NLGN2	
RNF34	1	RNF34	
WBP2	1	WBP2	
ITLN1	1	ITLN1	
GLRX	1	GLRX	
PUF60	1	PUF60	
RBBP4	1	RBBP4	
RBBP5	1	RBBP5	
RBBP9	1	RBBP9	
RBBP6	1	RBBP6	
SNRPB2	1	SNRPB2	
RCVRN	1	RCVRN	
KCNIP1	1	KCNIP1	
RNF24	1	RNF24	
KCNIP3	1	KCNIP3	
TXNRD1	1	TXNRD1	
KCNIP4	1	KCNIP4	
CBLN4	1	CBLN4	
PFKM	1	PFKM	
METAP1	1	METAP1	
CBLN1	1	CBLN1	
CUL4B	1	CUL4B	
METAP2	1	METAP2	
GLTP	1	GLTP	
GORAB	1	GORAB	
LST1	1	LST1	
SOX2	1	SOX2	
CHEK2	1	CHEK2	
CHEK1	1	CHEK1	
ARL6IP5	1	ARL6IP5	
HABP4	1	HABP4	
GLUL	1	GLUL	
GOLGA7	1	GOLGA7	
EYS	1	EYS	
AGFG1	1	AGFG1	
IQCF3	1	IQCF3	
RECQL	1	RECQL	
IQCF1	1	IQCF1	
JMJD6	1	JMJD6	
CARHSP1	1	CARHSP1	
COX7A2L	1	COX7A2L	
ASTL	1	ASTL	
RRAGC	1	RRAGC	
CD109	1	CD109	
COL8A1	1	COL8A1	
EZR	1	EZR	
PFN2	1	PFN2	
WFDC11	1	WFDC11	
HEPACAM	1	HEPACAM	
PDE1A	1	PDE1A	
EIF5A2	1	EIF5A2	
CD99L2	1	CD99L2	
UMOD	1	UMOD	
FADD	1	FADD	
WFDC13	1	WFDC13	
FIS1	1	FIS1	
NMB	1	NMB	
PDE2A	1	PDE2A	
TREX2	1	TREX2	
GDF2	1	GDF2	
IGFL3	1	IGFL3	
RAB39B	1	RAB39B	
IFNLR1	1	IFNLR1	
PARP16	1	PARP16	
GDF3	1	GDF3	
NMI	1	NMI	
ACADSB	1	ACADSB	
ALOX15B	1	ALOX15B	
GDF5	1	GDF5	
GNG11	1	GNG11	
ZWINT	1	ZWINT	
GDF7	1	GDF7	
GDF9	1	GDF9	
PARP11	1	PARP11	
NMS	1	NMS	
NMU	1	NMU	
PDE3A	1	PDE3A	
ITM2A	1	ITM2A	
ITM2B	1	ITM2B	
ITM2C	1	ITM2C	
ACVRL1	1	ACVRL1	
CLIC5	1	CLIC5	
CLIC4	1	CLIC4	
GDI1	1	GDI1	
FAF2	1	FAF2	
GDI2	1	GDI2	
OLA1	1	OLA1	
STAB2	1	STAB2	
MYL6B	1	MYL6B	
KRT20	1	KRT20	
QRFP	1	QRFP	
CX3CL1	1	CX3CL1	
GLIPR1	1	GLIPR1	
GLIPR2	1	GLIPR2	
GUK1	1	GUK1	
STAB1	1	STAB1	
ANKRD1	1	ANKRD1	
GNPNAT1	1	GNPNAT1	
CLIC2	1	CLIC2	
CLIC1	1	CLIC1	
MAP4K1	1	MAP4K1	
MANBA	1	MANBA	
INSRR	1	INSRR	
NOG	1	NOG	
PRMT3	1	PRMT3	
KREMEN1	1	KREMEN1	
AMPD2	1	AMPD2	
KREMEN2	1	KREMEN2	
OTOR	1	OTOR	
NAALADL1	1	NAALADL1	
B3GNT8	1	B3GNT8	
B3GNT4	1	B3GNT4	
MPPED2	1	MPPED2	
FAM20B	1	FAM20B	
B3GNT2	1	B3GNT2	
ALDOC	1	ALDOC	
SGK3	1	SGK3	
ALDOB	1	ALDOB	
FAM20A	1	FAM20A	
ALDOA	1	ALDOA	
LILRA6	1	LILRA6	
MYCBP	1	MYCBP	
MCCD1	1	MCCD1	
AKAP7	1	AKAP7	
LYZL2	1	LYZL2	
NPL	1	NPL	
LILRA2	1	LILRA2	
LILRA3	1	LILRA3	
LILRA4	1	LILRA4	
LILRA5	1	LILRA5	
NPS	1	NPS	
NPW	1	NPW	
NCR3LG1	1	NCR3LG1	
MAP4K3	1	MAP4K3	
MPZL1	1	MPZL1	
MPZL2	1	MPZL2	
CA12	1	CA12	
CA11	1	CA11	
NQO1	1	NQO1	
CA10	1	CA10	
NQO2	1	NQO2	
C19orf18	1	C19orf18	
LILRB1	1	LILRB1	
LILRB2	1	LILRB2	
FAH	1	FAH	
LILRB3	1	LILRB3	
LILRB4	1	LILRB4	
LILRB5	1	LILRB5	
TJP1	1	TJP1	
KRT19	1	KRT19	
KRT18	1	KRT18	
TPPP2	1	TPPP2	
FAP	1	FAP	
KRT17	1	KRT17	
KRT16	1	KRT16	
TRIP10	1	TRIP10	
FAS	1	FAS	
AMY2A	1	AMY2A	
AMY2B	1	AMY2B	
SIRPG	1	SIRPG	
HDLBP	1	HDLBP	
MANEA	1	MANEA	
FBL	1	FBL	
PTTG1	1	PTTG1	
SIRPA	1	SIRPA	
MAGEB10	1	MAGEB10	
CA13	1	CA13	
NSF	1	NSF	
AMY1A	1	AMY1A	
CD300A	1	CD300A	
OCRL	1	OCRL	
WRNIP1	1	WRNIP1	
KRT72	1	KRT72	
DCTD	1	DCTD	
ALDH3A1	1	ALDH3A1	
GLTPD2	1	GLTPD2	
DNAJC30	1	DNAJC30	
ELMO1	1	ELMO1	
KLRF1	1	KLRF1	
CD300E	1	CD300E	
RELL1	1	RELL1	
CD300C	1	CD300C	
RELL2	1	RELL2	
ISCU	1	ISCU	
PDE9A	1	PDE9A	
FAIM	1	FAIM	
H6PD	1	H6PD	
KLRB1	1	KLRB1	
NTM	1	NTM	
LTBP4	1	LTBP4	
DTX1	1	DTX1	
CPLX2	1	CPLX2	
NID1	1	NID1	
NTS	1	NTS	
SEL1L2	1	SEL1L2	
CPLX1	1	CPLX1	
DNAJC27	1	DNAJC27	
NID2	1	NID2	
SDCBP	1	SDCBP	
ASIC4	1	ASIC4	
ALDH3B1	1	ALDH3B1	
STAP1	1	STAP1	
KLRC1	1	KLRC1	
SUDS3	1	SUDS3	
ACBD7	1	ACBD7	
BTNL9	1	BTNL9	
DNAJC19	1	DNAJC19	
HSPA9	1	HSPA9	
ACBD6	1	ACBD6	
BTNL8	1	BTNL8	
HSPA8	1	HSPA8	
TGFB2	1	TGFB2	
TGFB1	1	TGFB1	
HSPA5	1	HSPA5	
KLRC3	1	KLRC3	
TGFB3	1	TGFB3	
KLRC4	1	KLRC4	
HSPA6	1	HSPA6	
DNAJC11	1	DNAJC11	
BTNL3	1	BTNL3	
TBCB	1	TBCB	
TBCA	1	TBCA	
DNAJC15	1	DNAJC15	
DNAJC16	1	DNAJC16	
ACSF2	1	ACSF2	
DNAJC17	1	DNAJC17	
DNAJC18	1	DNAJC18	
NFKBIA	1	NFKBIA	
FER	1	FER	
DLG2	1	DLG2	
DLG3	1	DLG3	
GDNF	1	GDNF	
DLG4	1	DLG4	
FEV	1	FEV	
DNAJC10	1	DNAJC10	
RFXAP	1	RFXAP	
TBCE	1	TBCE	
COL20A1	1	COL20A1	
TMEM119	1	TMEM119	
TGFBI	1	TGFBI	
PALS2	1	MPP6	
NFKBID	1	NFKBID	
NFKBIB	1	NFKBIB	
CXCL6	1	CXCL6	
ACADVL	1	ACADVL	
CXCL9	1	CXCL9	
CXCL8	1	CXCL8	
HSPB6	1	HSPB6	
LRRC74A	1	LRRC74A	
DOCK9	1	DOCK9	
LMOD1	1	LMOD1	
HSPB1	1	HSPB1	
CXCL1	1	CXCL1	
CXCL2	1	CXCL2	
ELAVL1	1	ELAVL1	
CXCL5	1	CXCL5	
SENP7	1	SENP7	
ALDH2	1	ALDH2	
CA5B	1	CA5B	
NETO1	1	NETO1	
CA5A	1	CA5A	
KYNU	1	KYNU	
TMEM108	1	TMEM108	
PDE4A	1	PDE4A	
POLI	1	POLI	
GUSB	1	GUSB	
HIBCH	1	HIBCH	
POLH	1	POLH	
FGB	1	FGB	
EGFL6	1	EGFL6	
DCXR	1	DCXR	
PDE4D	1	PDE4D	
FGG	1	FGG	
ARID1A	1	ARID1A	
FGR	1	FGR	
KCNA10	1	KCNA10	
PDE5A	1	PDE5A	
RGS18	1	RGS18	
RGS19	1	RGS19	
HPGD	1	HPGD	
TUFT1	1	TUFT1	
PON1	1	PON1	
LCAT	1	LCAT	
DLL1	1	DLL1	
DLL3	1	DLL3	
HSPD1	1	HSPD1	
DLL4	1	DLL4	
ACAN	1	ACAN	
IGFBPL1	1	IGFBPL1	
GMDS	1	GMDS	
KLRG2	1	KLRG2	
PDE6D	1	PDE6D	
RGS21	1	RGS21	
NRIP3	1	NRIP3	
SGTB	1	SGTB	
POLM	1	POLM	
SGTA	1	SGTA	
ARID3A	1	ARID3A	
OOSP2	1	OOSP2	
TSPEAR	1	TSPEAR	
HSPE1	1	HSPE1	
DLK1	1	DLK1	
DLK2	1	DLK2	
POMC	1	POMC	
POMK	1	POMK	
RGS10	1	RGS10	
LTBR	1	LTBR	
PDE7A	1	PDE7A	
GMFB	1	GMFB	
GMFG	1	GMFG	
ISM1	1	ISM1	
ENDOU	1	ENDOU	
NDST1	1	NDST1	
TBK1	1	TBK1	
AKT2	1	AKT2	
AKT3	1	AKT3	
AKT1	1	AKT1	
MLYCD	1	MLYCD	
MNX1	1	MNX1	
KRTDAP	1	KRTDAP	
ATG3	1	ATG3	
TSTD1	1	TSTD1	
FRS2	1	FRS2	
LDOC1	1	LDOC1	
MCEMP1	1	MCEMP1	
ISL1	1	ISL1	
ACE2	1	ACE2	
ATF6	1	ATF6	
CRABP2	1	CRABP2	
CRABP1	1	CRABP1	
PDGFB	1	PDGFB	
PDGFA	1	PDGFA	
PLA2G5	1	PLA2G5	
PLA2G7	1	PLA2G7	
EPB41L1	1	EPB41L1	
RNF215	1	RNF215	
SCGB1D2	1	SCGB1D2	
PDGFD	1	PDGFD	
PDGFC	1	PDGFC	
C14orf93	1	C14orf93	
ATG7	1	ATG7	
SULT1A3	1	SULT1A3	
ATG5	1	ATG5	
TSLP	1	TSLP	
FN1	1	FN1	
IL31RA	1	IL31RA	
MAGOHB	1	MAGOHB	
AIF1L	1	AIF1L	
TREML1	1	TREML1	
SULT1B1	1	SULT1B1	
TBL2	1	TBL2	
B4GAT1	1	B3GNT6	
CILP	1	CILP	
FASN	1	FASN	
TREML2	1	TREML2	
PYDC1	1	PYDC1	
F13B	1	F13B	
SFTA2	1	SFTA2	
ACHE	1	ACHE	
SIGLEC9	1	SIGLEC9	
ARHGAP1	1	ARHGAP1	
ARHGAP5	1	ARHGAP5	
OSBPL11	1	OSBPL11	
PEAR1	1	PEAR1	
MECP2	1	MECP2	
SULT1C2	1	SULT1C2	
SMPD1	1	SMPD1	
OLR1	1	OLR1	
TPSAB1	1	TPSAB1	
TPSG1	1	TPSG1	
RMI1	1	RMI1	
SPHK2	1	SPHK2	
SPHK1	1	SPHK1	
EPS15L1	1	EPS15L1	
OAF	1	OAF	
CINP	1	CINP	
PXDN	1	PXDN	
PPARA	1	PPARA	
NIP7	1	NIP7	
ODC1	1	ODC1	
TSR3	1	TSR3	
EGFR	1	EGFR	
NRAS	1	NRAS	
CNPY4	1	CNPY4	
SULT1E1	1	SULT1E1	
FRZB	1	FRZB	
MFN1	1	MFN1	
SPOP	1	SPOP	
SPP1	1	SPP1	
IL12RB1	1	IL12RB1	
IL12RB2	1	IL12RB2	
CENPV	1	CENPV	
CENPW	1	CENPW	
GOLM2	1	CASC4	
GOLM1	1	GOLM1	
WNT7A	1	WNT7A	
COL3A1	1	COL3A1	
RABIF	1	RABIF	
ETNK1	1	ETNK1	
SLMAP	1	SLMAP	
SIGLEC1	1	SIGLEC1	
SIGLEC8	1	SIGLEC8	
CRAT	1	CRAT	
EBAG9	1	EBAG9	
SIGLEC7	1	SIGLEC7	
CRLF1	1	CRLF1	
SIGLEC6	1	SIGLEC6	
CDKN3	1	CDKN3	
CRLF2	1	CRLF2	
SIGLEC5	1	SIGLEC5	
CRCP	1	CRCP	
NAB1	1	NAB1	
REG1B	1	REG1B	
GMNN	1	GMNN	
NAB2	1	NAB2	
REG1A	1	REG1A	
PLOD3	1	PLOD3	
PLOD2	1	PLOD2	
IBSP	1	IBSP	
MTPAP	1	MTPAP	
NUDT12	1	NUDT12	
BNIP3L	1	BNIP3L	
SPAG11B	2	SPAG11B:SPAG11A	
EIF1AY	1	EIF1AY	
EIF1AX	1	EIF1AX	
IST1	1	IST1	
FST	1	FST	
ADIPOQ	1	ADIPOQ	
CNPY3	1	CNPY3	
CDC25A	1	CDC25A	
CDC25B	1	CDC25B	
TPST2	1	TPST2	
ACLY	1	ACLY	
TPST1	1	TPST1	
MFNG	1	MFNG	
NAAA	1	NAAA	
IL6ST	1	IL6ST	
PLA2R1	1	PLA2R1	
SLC27A2	1	SLC27A2	
FTL	1	FTL	
SHC4	1	SHC4	
SPATA9	1	SPATA9	
CD274	1	CD274	
REG3A	1	REG3A	
LCN8	1	LCN8	
SHC2	1	SHC2	
DLX3	1	DLX3	
DLX4	1	DLX4	
SHC1	1	SHC1	
GMPS	1	GMPS	
GMPR	1	GMPR	
LIN7A	1	LIN7A	
REG3G	1	REG3G	
LIN7C	1	LIN7C	
LIN7B	1	LIN7B	
HSP90B1	1	HSP90B1	
EIF1AD	1	EIF1AD	
HNRNPDL	1	HNRNPDL	
G3BP1	1	G3BP1	
EIF4EBP1	1	EIF4EBP1	
G3BP2	1	G3BP2	
PGK1	1	PGK1	
SMYD2	1	SMYD2	
EIF4EBP2	1	EIF4EBP2	
EIF4EBP3	1	EIF4EBP3	
NAE1	1	NAE1	
PGK2	1	PGK2	
NADK	1	NADK	
TXNDC5	1	TXNDC5	
SLC14A1	1	SLC14A1	
SLC14A2	1	SLC14A2	
LTO1	1	ORAOV1	
ARPC5	1	ARPC5	
IFNW1	1	IFNW1	
NDC80	1	NDC80	
TMPRSS15	1	TMPRSS15	
IGSF11	1	IGSF11	
ARPC3	1	ARPC3	
NACA	1	NACA	
OGN	1	OGN	
TBXAS1	1	TBXAS1	
LCN2	1	LCN2	
LCN1	1	LCN1	
ZNF415	1	ZNF415	
HPSE	1	HPSE	
SHBG	1	SHBG	
NIT2	1	NIT2	
ZNF410	1	ZNF410	
SPRN	1	SPRN	
SNAP25	1	SNAP25	
ITGB5	1	ITGB5	
LEAP2	1	LEAP2	
ITGB2	1	ITGB2	
ITGAL	1	ITGAL	
RLBP1	1	RLBP1	
NRGN	1	NRGN	
ALAD	1	ALAD	
ACP6	1	ACP6	
ACP5	1	ACP5	
PGM2	1	PGM2	
ACP2	1	ACP2	
ITGB7	1	ITGB7	
ITGB6	1	ITGB6	
PGLS	1	PGLS	
UGT2A1	1	UGT2A1	
SMIM10	1	SMIM10	
ACP1	1	ACP1	
SNAP29	1	SNAP29	
PGM1	1	PGM1	
EIF5A	1	EIF5A	
SMIM13	1	SMIM13	
APAF1	1	APAF1	
ITGA2	1	ITGA2	
SPACA1	1	SPACA1	
AHSA1	1	AHSA1	
NRG1	1	NRG1	
TFIP11	1	TFIP11	
NRG2	1	NRG2	
SEZ6L	1	SEZ6L	
ATRN	1	ATRN	
MFRP	1	MFRP	
NRG3	1	NRG3	
RRM2B	1	RRM2B	
NRG4	1	NRG4	
SYF2	1	SYF2	
SPACA3	1	SPACA3	
ITGA5	1	ITGA5	
LCP1	1	LCP1	
SPACA5	1	SPACA5	
FXN	1	FXN	
PRPS2	1	PRPS2	
BECN1	1	BECN1	
PRPS1	1	PRPS1	
SMIM24	1	SMIM24	
ROCK2	1	ROCK2	
EHBP1	1	EHBP1	
FOXRED1	1	FOXRED1	
CDC42	1	CDC42	
ZNRF3	1	ZNRF3	
EIF4H	1	EIF4H	
FYN	1	FYN	
HNRNPA1	1	HNRNPA1	
EIF4E	1	EIF4E	
EIF4B	1	EIF4B	
GADD45GIP1	1	GADD45GIP1	
NTRK1	1	NTRK1	
NTRK2	1	NTRK2	
MARCKSL1	1	MARCKSL1	
PCDH9	1	PCDH9	
NTRK3	1	NTRK3	
PCDH8	1	PCDH8	
KIAA1549L	1	KIAA1549L	
FAM209B	1	FAM209B	
TBX5	1	TBX5	
HNRNPAB	1	HNRNPAB	
TBX3	1	TBX3	
SYT17	1	SYT17	
NAGK	1	NAGK	
SYT11	1	SYT11	
EIF3J	1	EIF3J	
EIF3G	1	EIF3G	
CD248	1	CD248	
STUB1	1	STUB1	
CD247	1	CD247	
NAGS	1	NAGS	
CD244	1	CD244	
HHIP	1	HHIP	
NUDT1	1	NUDT1	
NUDT2	1	NUDT2	
LDLRAD4	1	LDLRAD4	
LCTL	1	LCTL	
NUDT5	1	NUDT5	
NUDT3	1	NUDT3	
CRKL	1	CRKL	
IL27RA	1	IL27RA	
HERC5	1	HERC5	
HERC4	1	HERC4	
C1GALT1C1	1	C1GALT1C1	
HERC1	1	HERC1	
OPHN1	1	OPHN1	
SNRPD2	1	SNRPD2	
CPNE1	1	CPNE1	
PIEZO1	1	PIEZO1	
PTGFRN	1	PTGFRN	
SNRPD3	1	SNRPD3	
SPA17	1	SPA17	
SMARCC1	1	SMARCC1	
ACTN2	1	ACTN2	
ACTN1	1	ACTN1	
CTRB2	1	CTRB2	
CTRB1	1	CTRB1	
OMD	1	OMD	
CIRBP	1	CIRBP	
OMG	1	OMG	
ISLR2	1	ISLR2	
TALDO1	1	TALDO1	
CSNK1D	1	CSNK1D	
CCDC80	1	CCDC80	
CDC34	1	CDC34	
OMP	1	OMP	
PPA2	1	PPA2	
PPA1	1	PPA1	
CDC37	1	CDC37	
CSNK2B	1	CSNK2B	
CD226	1	CD226	
EIF1B	1	EIF1B	
TRIB2	1	TRIB2	
EPB41	1	EPB41	
PPCS	1	PPCS	
STAT5B	1	STAT5B	
REG4	1	REG4	
RAB27A	1	RAB27A	
RAB27B	1	RAB27B	
PPBP	1	PPBP	
IL1F10	1	IL1F10	
AIMP1	1	AIMP1	
CRNN	1	CRNN	
ALDH6A1	1	ALDH6A1	
CALY	1	CALY	
CD209	1	CD209	
CD207	1	CD207	
GNRH2	1	GNRH2	
GNRH1	1	GNRH1	
KYAT1	1	CCBL1	
CALR	1	CALR	
IGSF9B	1	IGSF9B	
MRAP2	1	MRAP2	
CD200	1	CD200	
DDR1	1	DDR1	
IL21	1	IL21	
WFDC8	1	WFDC8	
IL22	1	IL22	
NRP1	1	NRP1	
NRP2	1	NRP2	
IL20	1	IL20	
ACY1	1	ACY1	
IL25	1	IL25	
IL26	1	IL26	
IL24	1	IL24	
WFDC1	1	WFDC1	
CROT	1	CROT	
NAT14	1	NAT14	
WFDC5	1	WFDC5	
RAB22A	1	RAB22A	
WFDC2	1	WFDC2	
WFDC3	1	WFDC3	
THTPA	1	THTPA	
NANP	1	NANP	
MAP1LC3B	1	MAP1LC3B	
NUDCD3	1	NUDCD3	
MAP1LC3A	1	MAP1LC3A	
CRTAC1	1	CRTAC1	
UFD1	1	UFD1L	
NANS	1	NANS	
SPTAN1	1	SPTAN1	
CAMP	1	CAMP	
HTATIP2	1	HTATIP2	
CAP1	1	CAP1	
IL10	1	IL10	
IL11	1	IL11	
SFTPB	1	SFTPB	
PBRM1	1	PBRM1	
IL15	1	IL15	
FSHB	1	FSHB	
GAA	1	GAA	
PABPC4	1	PABPC4	
SFTPD	1	SFTPD	
IL18	1	IL18	
IL19	1	IL19	
IL16	1	IL16	
SYN3	1	SYN3	
DUS2	1	DUS2	
IL1A	1	IL1A	
GAL	1	GAL	
GAN	1	GAN	
IL1B	1	IL1B	
CANX	1	CANX	
UFC1	1	UFC1	
PABPC3	1	PABPC3	
MFGE8	1	MFGE8	
FJX1	1	FJX1	
DDR2	1	DDR2	
NAPA	1	NAPA	
NAPB	1	NAPB	
TAGLN	1	TAGLN	
CAB39	1	CAB39	
GNAI3	1	GNAI3	
CAPG	1	CAPG	
HSD17B7	1	HSD17B7	
HSD17B8	1	HSD17B8	
GNAI1	1	GNAI1	
NAPG	1	NAPG	
RELB	1	RELB	
PDZD11	1	PDZD11	
HSD17B1	1	HSD17B1	
FAM177A1	1	FAM177A1	
MGAT1	1	MGAT1	
MGAT2	1	MGAT2	
RELT	1	RELT	
XDH	1	XDH	
IL32	1	IL32	
GABBR2	1	GABBR2	
GABBR1	1	GABBR1	
IL31	1	IL31	
GCA	1	GCA	
IL37	1	IL37	
IL34	1	IL34	
OSM	1	OSM	
VEGFB	1	VEGFB	
TTC1	1	TTC1	
VEGFC	1	VEGFC	
GCG	1	GCG	
PCDHB10	1	PCDHB10	
GCK	1	GCK	
VEGFA	1	VEGFA	
NUDT9	1	NUDT9	
ITCH	1	ITCH	
KITLG	1	KITLG	
CFHR2	1	CFHR2	
CFHR1	1	CFHR1	
CFHR4	1	CFHR4	
CFHR3	1	CFHR3	
HNRNPA2B1	1	HNRNPA2B1	
TCEA2	1	TCEA2	
AGGF1	1	AGGF1	
CFHR5	1	CFHR5	
TCEA1	1	TCEA1	
RTN4IP1	1	RTN4IP1	
OTC	1	OTC	
PNPLA2	1	PNPLA2	
OTUD5	1	OTUD5	
SRP19	1	SRP19	
UBXN2B	1	UBXN2B	
GDA	1	GDA	
C1orf56	1	MENT	
RPP30	1	RPP30	
ZFAND5	1	ZFAND5	
LOXL3	1	LOXL3	
PEBP1	1	PEBP1	
UBE3A	1	UBE3A	
ZFAND1	1	ZFAND1	
SRP14	1	SRP14	
YARS1	1	YARS	
COX6A2	1	COX6A2	
LOXL2	1	LOXL2	
NR3C2	1	NR3C2	
EEF1B2	1	EEF1B2	
AKR7A2	1	AKR7A2	
AKR7A3	1	AKR7A3	
AMMECR1L	1	AMMECR1L	
IL6R	1	IL6R	
CAST	1	CAST	
IL4R	1	IL4R	
C1orf43	1	C1orf43	
CASK	1	CASK	
GEM	1	GEM	
PPIF	1	PPIF	
FETUB	1	FETUB	
PPIE	1	PPIE	
PPIH	1	PPIH	
PPIG	1	PPIG	
TSNARE1	1	TSNARE1	
CARS1	1	CARS	
PPIB	1	PPIB	
PPIA	1	PPIA	
EMID1	1	EMID1	
PPID	1	PPID	
PPIC	1	PPIC	
DDX6	1	DDX6	
PKDCC	1	PKDCC	
DIABLO	1	DIABLO	
ADGRG1	1	GPR56	
ADGRG5	1	ADGRG5	
RHPN2	1	RHPN2	
MAGEA10	1	MAGEA10	
MFAP3L	1	MFAP3L	
SYT5	1	SYT5	
UBE2F	1	UBE2F	
SYT4	1	SYT4	
SYT2	1	SYT2	
UBE2I	1	UBE2I	
VCAM1	1	VCAM1	
CAV3	1	CAV3	
MUC16	1	MUC16	
UBE2B	1	UBE2B	
CAV2	1	CAV2	
UBE2C	1	UBE2C	
RARRES2	1	RARRES2	
CRTAM	1	CRTAM	
RARRES1	1	RARRES1	
GGH	1	GGH	
UBE2A	1	UBE2A	
SYT9	1	SYT9	
SYT8	1	SYT8	
SYT7	1	SYT7	
TMEM230	1	TMEM230	
GH2	1	GH2	
GH1	1	GH1	
TMEM234	1	TMEM234	
NAT1	1	NAT1	
ALPP	1	ALPP	
CCPG1	1	CCPG1	
FAM151A	1	FAM151A	
TMEM237	1	TMEM237	
UBE2S	1	UBE2S	
UBE2T	1	UBE2T	
MANSC4	1	MANSC4	
GNAS	1	GNAS	
UBE2N	1	UBE2N	
ALPL	1	ALPL	
ALPI	1	ALPI	
MANSC1	1	MANSC1	
TCF4	1	TCF4	
IL7R	1	IL7R	
UBE2K	1	UBE2K	
GALK1	1	GALK1	
UBE2M	1	UBE2M	
DYRK3	1	DYRK3	
DPY30	1	DPY30	
OXT	1	OXT	
DMKN	1	DMKN	
RND3	1	RND3	
RERG	1	RERG	
RND1	1	RND1	
GHR	1	GHR	
ADGRE2	1	ADGRE2	
MAN1A2	1	MAN1A2	
SNTA1	1	SNTA1	
TGIF2	1	TGIF2	
PDPK1	1	PDPK1	
IRAK4	1	IRAK4	
GIP	1	GIP	
TAPBP	1	TAPBP	
GREM1	1	GREM1	
GREM2	1	GREM2	
ADGRF1	1	ADGRF1	
ADGRF5	1	ADGRF5	
CHI3L2	1	CHI3L2	
CHI3L1	1	CHI3L1	
MAN1B1	1	MAN1B1	
FBP1	1	FBP1	
FBP2	1	FBP2	
OTUB2	1	OTUB2	
RAP1GDS1	1	RAP1GDS1	
RNF8	1	RNF8	
ASAP2	1	ASAP2	
